Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Turbiedad,20/11/2020 11:00,0.7,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 11:45,1.1,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,DBO5,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,DQO,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Hierro,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Color real,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Turbiedad,20/11/2020 11:45,0.7,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 12:10,1.1,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DBO5,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DQO,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Hierro,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Color real,20/11/2020 12:10,6,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Turbiedad,20/11/2020 12:10,0.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 13:30,1.1,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DBO5,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DQO,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Hierro,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Color real,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Turbiedad,20/11/2020 13:30,0.7,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 14:10,1.1,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,DBO5,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,DQO,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Color real,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Hierro,17/05/2021 14:10,1.7,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Turbiedad,17/05/2021 14:10,0.7,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 19:07,1.1,
