Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Molino,Agua de rio,Chorro blanco,774278,9709212,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,18/03/2018 14:25,0.93,
Molino,Agua de rio,Chorro blanco,774278,9709212,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,18/03/2018 14:25,1.98,
Molino,Agua de rio,Chorro blanco,774278,9709212,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,18/03/2018 14:25,100,
Molino,Agua de rio,Chorro blanco,774278,9709212,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,18/03/2018 14:25,8.02,
Molino,Agua de rio,Pie_de_embalse_guarumales      ,777415,9714917,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,18/03/2018 16:40,7.92,
Molino,Agua de rio,Pie_de_embalse_guarumales      ,777415,9714917,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,18/03/2018 16:40,1.02,
Molino,Agua de rio,Pie_de_embalse_guarumales      ,777415,9714917,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,18/03/2018 16:40,1.98,
Molino,Agua de rio,Pie_de_embalse_guarumales      ,777415,9714917,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,18/03/2018 16:40,410,
Molino,Agua de rio,Pie_de_embalse_guarumales      ,777415,9714917,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,18/03/2018 16:40,7.79,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,27/12/2018 0:00,11.9,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,27/12/2018 0:00,6,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,27/12/2018 0:00,10,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,27/12/2018 0:00,66.3,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,pH,27/12/2018 0:00,7.2,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,27/12/2018 0:00,10.95,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,27/12/2018 0:00,6,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,27/12/2018 0:00,10,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,27/12/2018 0:00,75.4,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,pH,27/12/2018 0:00,7.6,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,18.8,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,6.3,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7.5,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,99.9,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,11,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,11,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,6.8,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,6,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,10,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,1,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7,
