Central,Recurso,Punto_Medición,X_coord,Y_coord
Paute_molino,Agua potable,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua residual,Casa_de_máquinas,777173,9714477
Paute_molino,Agua potable,Casa_de_máquinas,771733,9714477
Paute_molino,Agua potable,Cafetería_casa_de_máquinas,771733,9714477
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz ,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777168,9714478
Paute_molino,Agua residual,Trampa_de_grasas_taller_automotriz,777163,9714478
Paute_molino,Suelo,Taller_automotriz _trampa_de_grasa                        ,777166,9714480
Paute_molino,Suelo,Taller_automotriz,777166,9714480
Paute_molino,Suelo,Taller_automotriz _trampa_de_grasa,777162,9714481
Paute_molino,Suelo,Taller_mecánico_p1      ,777465,9714592
Paute_molino,Suelo,Taller_mecánico_p2      ,777487,9714596
Paute_molino,Suelo,Taller_mecánico_p2,777487,9714596
Paute_molino,Agua potable,Taller_automotriz,777492,9714606
Paute_molino,Agua potable,Taller_mecánico,777492,9714606
Paute_molino,Suelo,Taller_mecánico_p2,777465,9714607
Paute_molino,Suelo,Taller_mecánico_p1,777458,9714608
Paute_molino,Suelo,Taller_mecánico ,777461,9714610
Paute_molino,Suelo,Taller_mecánico,777461,9714610
Paute_molino,Agua potable,Cocina,777681,9714646
Paute_molino,Suelo,Taller_carpintería,777507,9714661
Paute_molino,Suelo,Taller_mecánico_p1,777504,9714662
Paute_molino,Suelo,Taller_carpinteria         ,777512,9714670
Paute_molino,Suelo,Taller_carpintería,777512,9714670
Paute_molino,Suelo,Taller_carpintería,777504,9714679
Paute_molino,Suelo,Taller_carpintería                                                                                                                                                                                                                                        ,777504,9714679
Paute_molino,Agua residual,Aguas_turbinadas,777679,9714683
Paute_molino,Agua residual,Trampa_de_grasas_comedor,777676,9714684
Paute_molino,Agua residual,Trampa_de_grasas_comedor,777676,9714684
Paute_molino,Agua residual,Trampa_ de_grasas_comedor,777681,9714685
Paute_molino,Agua potable,Cocina,797678,9714686
Paute_molino,Agua potable,Cocina,797678,9714686
Paute_molino,Agua potable,Baño_de_cocina,777678,9714686
Paute_molino,Agua potable,Baño_de_cocina,777678,9714686
Paute_molino,Agua potable,Cocina,777694,9714710
Paute_molino,Agua potable,Barrio_misceláneos,777611,9714718
Paute_molino,Agua potable,Barrio_misceláneos,777611,9714718
Paute_molino,Agua potable,Barrio_misceláneos,777602,9714718
Paute_molino,Agua potable,Barrio_misceláneos,777602,9714718
Paute_molino,Suelo,Frente_gasolinera_p2,777761,9714737
Paute_molino,Suelo,Frente_gasolinera_p1,777759,9714737
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera,777748,9714737
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera,777748,9714737
Paute_molino,Suelo,Frente_gasolinera_p1          ,777760,9714738
Paute_molino,Suelo,Frente_gasolinera_p1,777760,9714738
Paute_molino,Suelo,Gasolinera_guarumales_lateral_p1,777750,9714738
Paute_molino,Suelo,Frente_gasolinera_p2       ,777761,9714740
Paute_molino,Suelo,Frente_gasolinera_p2,777761,9714740
Paute_molino,Suelo,Gasolinera_guarumales_lateral_izquierdo_p2           ,777746,9714742
Paute_molino,Suelo,Gasolinera_lado_izquierdo,777746,9714742
Paute_molino,Suelo,Gasolinera_lado_izquierdo,777746,9714742
Paute_molino,Suelo,Gasolinera_campamentos_guarumales_p1                                                                                                                                                                                                             ,777748,9714744
Paute_molino,Suelo,Gasolinera_p1                      ,777748,9714744
Paute_molino,Suelo,Chatarrera_p2      ,777550,9714748
Paute_molino,Suelo,chatarrera_p2,777550,9714748
Paute_molino,Suelo,Chatarrera_p1       ,777558,9714750
Paute_molino,Suelo,Chatarrera_p1,777558,9714750
Paute_molino,Suelo,Chatarrera_p1                                                                                                                                                                                                                           ,777545,9714750
Paute_molino,Suelo,Chatarrera_p1                                                                                                                                                                                                                                  ,777545,9714750
Paute_molino,Suelo,Chatarrera_p2                                                                                                                                                                                                                           ,777542,9714753
Paute_molino,Suelo,Chatarrera_p2    ,777542,9714753
Paute_molino,Agua residual,Ptar 1_campamento_entrada,777919,9714754
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p4                     ,777742,9714754
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p4,777742,9714754
Paute_molino,Suelo,Gasolinera_parte_posterior_p4,777742,9714754
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera ,777735,9714754
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera,777735,9714754
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera,777735,9714754
Paute_molino,Suelo,Chatarrera_p1,777555,9714754
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p1,777748,9714755
Paute_molino,Agua residual,Trampa_de_grasas_gasolinera,777733,9714755
Paute_molino,Suelo,Chatarrera_p2,777550,9714755
Paute_molino,Agua cruda,Quebrada_campamento ,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_entrada ,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_salida,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_entrada,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_salida,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_entrada,777920,9714756
Paute_molino,Agua residual,Ptar 1_campamento_salida,777920,9714756
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p4,777750,9714756
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p2,777751,9714759
Paute_molino,Suelo,Gasolinera_campamentos_guarumales_p2                                                                                                                                                                                                             ,777748,9714759
Paute_molino,Suelo,Gasolinera_p2                                                                                                                                                                                                                              ,777748,9714759
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p1      ,777751,9714760
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p1 ,777751,9714760
Paute_molino,Suelo,Gasolinera_parte_posterior_p1,777751,9714760
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p2                               ,777748,9714760
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p3                ,777748,9714760
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p2,777748,9714760
Paute_molino,Suelo,Gasolinera_guarumales_ posterior_p3,777748,9714760
Paute_molino,Suelo,Gasolinera_parte_posterior_p3,777748,9714760
Paute_molino,Suelo,Gasolinera_parte_posterior_p2,777748,9714760
Paute_molino,Suelo,Chatarrera_p4                                                                                                                                                                                                                           ,777556,9714760
Paute_molino,Suelo,Chatarrera_p4                                                                                                                                                                                                                                  ,777556,9714760
Paute_molino,Suelo,Chatarrera_p3                                                                                                                                                                                                                           ,777551,9714760
Paute_molino,Suelo,Chatarrera_p3     ,777551,9714760
Paute_molino,Suelo,Gasolinera_guarumales_posterior_p3,777750,9714761
Paute_molino,Suelo,Campamento_guarumales_relleno sanitario_selección ,777933,9714762
Paute_molino,Suelo,Gasolinera_guarumales_lateral_p2,777761,9714762
Paute_molino,Suelo,Campamento_guarumales_relleno_sanitario_selección               ,777918,9714764
Paute_molino,Suelo,Campamento_guarumales_relleno_sanitario_selección               ,777918,9714764
