Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
;777512;9714670;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Níquel;21/11/2020 16:30;37.82;,,,,,,,,,,
Molino,Suelo ,Taller_carpintería,,,,,,,,
;777512;9714670;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;pH;21/11/2020 16:30;6.55;,,,,,,,,,,
Molino,Suelo ,Taller_carpintería,,,,,,,,
;777512;9714670;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Plomo;21/11/2020 16:30;101257;,,,,,,,,,,
Molino,Suelo ,Taller_carpintería,,,,,,,,
;777512;9714670;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Vanadio;21/11/2020 16:30;904675;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Bifenilos policlorados pcbs;21/11/2020 10:40;1.32;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Cobre;21/11/2020 10:40;200.8;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Cromo hexavalente;21/11/2020 10:40;1;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Hidrocarburos_aromáticos_policiclicos;21/11/2020 10:40;45026.2;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Hidrocarburos totales de petróleo;21/11/2020 10:40;54.84;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Níquel;21/11/2020 10:40;62.85;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;pH;21/11/2020 10:40;6.77;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Plomo;21/11/2020 10:40;232273;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p1,,,,,,,,
;777504;9714662;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Vanadio;21/11/2020 10:40;410038;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Bifenilos policlorados pcbs;21/11/2020 10:43;1197;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Cobre;21/11/2020 10:43;196.46;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Cromo hexavalente;21/11/2020 10:43;1;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Hidrocarburos_aromáticos_policiclicos;21/11/2020 10:43;8558.3;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Hidrocarburos totales de petróleo;21/11/2020 10:43;78965;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Níquel;21/11/2020 10:43;95.73;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;pH;21/11/2020 10:43;6.55;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Plomo;21/11/2020 10:43;879542;,,,,,,,,,,
Molino,Suelo ,Taller_mecánico_p2,,,,,,,,
;777487;9714596;Anual;Acuerdo_ministerial 97a_anexo2_tabla 2;Vanadio;21/11/2020 10:43;541433;,,,,,,,,,,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,16/05/2021 13:50,662969,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,16/05/2021 13:50,4.3,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos totales de petróleo,16/05/2021 13:50,13894,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,16/05/2021 13:50,986607,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,16/05/2021 13:50,7.51,
Molino,Suelo ,Planta_de_agua_p1,777936,9714133,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,16/05/2021 13:50,29876,
Molino,Suelo ,Planta_de_agua_p1,777949,9714137,Anual,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,16/05/2021 13:50,48752,
